
ORIGEM;DESTINO;CLASSIFICAÇÃO;SERVIÇO;0,25;0,5;0,75;1;1,5;2;2,5;3;3,5;4;4,5;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;ADD
SP;AC;Capital; E-Commerce ;54,39;56,32;57,48;60,42;61,25;66,89;71,82;74,05;76,66;80,03;83;86,91;98,81;110,72;122,61;134,52;146,43;154,34;167,08;179,8;192,56;205,28;218,02;230,76;243,49;256,23;268,96;281,69;294,44;307,16;319,91;332,63;345,36;358,1;370,84;383,57;396,31;13,41
SP;AL;Capital; E-Commerce ;30,12;30,86;32,92;34,82;36,45;39,67;42,49;43,82;45,32;47,26;48,96;51,24;57,55;63,86;70,14;76,47;82,78;93,43;101,49;109,54;117,59;125,65;133,69;141,74;149,79;157,85;165,9;173,94;182;190,05;198,1;206,15;214,2;222,26;230,31;238,35;246,41;6,77
SP;AM;Capital; E-Commerce ;54,39;56,32;57,48;60,42;61,25;66,89;71,82;74,05;76,66;80,03;83;86,91;98,81;110,72;122,61;134,52;146,43;154,34;167,08;179,8;192,56;205,28;218,02;230,76;243,49;256,23;268,96;281,69;294,44;307,16;319,91;332,63;345,36;358,1;370,84;383,57;396,31;13,41
SP;AP;Capital; E-Commerce ;58,41;60,5;61,37;64,94;65,81;71,87;77,2;79,61;82,41;86,04;89,21;93,45;106,27;119,1;131,93;144,78;157,6;166,15;179,88;193,61;207,36;221,1;234,84;248,57;262,29;276,03;289,75;303,47;317,22;330,95;344,69;358,42;372,14;385,89;399,62;413,34;427,08;14,44
SP;BA;Capital; E-Commerce ;30,12;30,86;32,92;34,82;36,45;39,67;42,49;43,82;45,32;47,26;48,96;51,24;57,55;63,86;70,14;76,47;82,78;93,43;101,49;109,54;117,59;125,65;133,69;141,74;149,79;157,85;165,9;173,94;182;190,05;198,1;206,15;214,2;222,26;230,31;238,35;246,41;6,77
SP;CE;Capital; E-Commerce ;42,51;44;44,9;47,17;47,82;52,15;55,95;57,67;59,68;62,29;64,58;67,6;76,74;85,88;95,02;104,17;113,31;119,41;129,18;138,96;148,75;158,52;168,3;178,09;187,86;197,65;207,42;217,2;226,98;236,75;246,54;256,31;266,08;275,87;285,65;295,42;305,21;8,34
SP;DF;Capital; E-Commerce ;27,2;28,75;31,04;31,94;33,68;36,33;38,87;40,09;41,46;43,25;45,41;46,63;51,75;56,83;61,92;67,03;72,13;77,26;82,61;88;93,36;98,73;104,09;109,46;114,81;120,2;125,56;130,93;136,29;141,67;147,02;152,4;157,76;163,12;168,5;173,88;179,24;5,28
SP;ES;Capital; E-Commerce ;25,84;27,3;29,46;30,3;31,95;34,45;36,85;38;39,3;40,98;43,03;44,18;49,01;53,81;58,61;63,42;68,24;73,08;78,13;83,21;88,26;93,34;98,39;103,46;108,5;113,58;118,64;123,71;128,77;133,84;138,89;143,97;149,02;154,08;159,15;164,23;169,29;4,71
SP;GO;Capital; E-Commerce ;26,98;27,78;29,76;31,67;33,4;36,02;38,56;39,76;41,11;42,9;44,41;46,26;51,31;56,36;61,41;66,46;71,51;76,6;81,92;87,25;92,56;97,87;103,2;108,52;113,83;119,17;124,48;129,81;135,14;140,45;145,77;151,09;156,41;161,73;167,05;172,38;177,7;5,23
SP;MA;Capital; E-Commerce ;42,51;44;44,9;47,17;47,82;52,15;55,95;57,67;59,68;62,29;64,58;67,6;76,74;85,88;95,02;104,17;113,31;119,41;129,18;138,96;148,75;158,52;168,3;178,09;187,86;197,65;207,42;217,2;226,98;236,75;246,54;256,31;266,08;275,87;285,65;295,42;305,21;8,34
