UF,Cidade,CEP Inicial,CEP Final,Tipo,Prazo
RJ,Sao Goncalo,24410240,24410240,Capital,4
RJ,Sao Goncalo,24410250,24410250,Capital,4
RJ,Sao Goncalo,24410280,24410280,Capital,4
RJ,Sao Goncalo,24410290,24410290,Capital,4
RJ,Sao Goncalo,24410320,24410320,Capital,4
RJ,Sao Goncalo,24410335,24410335,Capital,4
RJ,Sao Goncalo,24410365,24410365,Capital,4
RJ,Sao Goncalo,24410380,24410380,Capital,4
RJ,Sao Goncalo,24410460,24410460,Capital,4
RJ,Sao Goncalo,24445425,24445425,Capital,4
RJ,Sao Goncalo,24445430,24445430,Capital,4
RJ,Sao Goncalo,24445435,24445436,Capital,4
RJ,Sao Goncalo,24445480,24445480,Capital,4
RJ,Sao Goncalo,24440600,24440600,Capital,4
RJ,Sao Goncalo,24445000,24445000,Capital,4
RJ,Sao Goncalo,24445020,24445020,Capital,4
MT,Vera,78880000,78880000,Redespacho,9
PI,Lagoa De Sao Francisco,64258000,64259999,Redespacho,5
MT,Primavera Do Leste,78850000,78854999,Capital,4
BA,America Dourada,44910000,44910999,Redespacho,8
SP,Itupeva,13299773,13299807,Capital,3
SP,Itupeva,13299630,13299636,Redespacho,3
SP,Itupeva,13299637,13299639,Capital,3
SP,Itupeva,13299640,13299678,Redespacho,3
SP,Itupeva,13299679,13299683,Capital,3
SP,Itupeva,13299684,13299696,Redespacho,3
SP,Itupeva,13299697,13299710,Capital,3
SP,Itupeva,13299740,13299772,Redespacho,3
PA,Cachoeira Do Piria,68617000,68617999,Redespacho,8
PA,Garrafao Do Norte,68665000,68669999,Redespacho,8
PA,Nova Esperanca Do Piria,68618000,68619999,Redespacho,7
RJ,Sao Goncalo,24720260,24720260,Capital,4
RJ,Sao Goncalo,24755220,24755220,Capital,4
RJ,Sao Goncalo,24445510,24445510,Capital,4
RJ,Sao Goncalo,24445520,24445520,Capital,4
RJ,Sao Goncalo,24445820,24445820,Capital,4
RJ,Sao Goncalo,24460020,24460020,Capital,4
RJ,Sao Goncalo,24460050,24460050,Capital,4
RJ,Sao Goncalo,24465015,24465015,Capital,4
RJ,Sao Goncalo,24465050,24465050,Capital,4
RJ,Sao Goncalo,24465060,24465060,Capital,4
RJ,Sao Goncalo,24465075,24465075,Capital,4
RJ,Sao Goncalo,24465080,24465080,Capital,4
RJ,Sao Goncalo,24465255,24465256,Capital,4
RJ,Sao Goncalo,24711200,24711200,Capital,4
RJ,Sao Goncalo,24720000,24720000,Capital,4
RJ,Sao Goncalo,24720010,24720010,Capital,4
RJ,Sao Goncalo,24720020,24720020,Capital,4
RJ,Sao Goncalo,24445030,24445030,Capital,4
RJ,Sao Goncalo,24445040,24445040,Capital,4
RJ,Sao Goncalo,24445050,24445050,Capital,4
RJ,Sao Goncalo,24445060,24445060,Capital,4
RJ,Sao Goncalo,24445065,24445065,Capital,4
RJ,Sao Goncalo,24445350,24445350,Capital,4
RJ,Sao Goncalo,24445360,24445361,Capital,4
RJ,Sao Goncalo,24445370,24445372,Capital,4
RJ,Sao Goncalo,24445380,24445380,Capital,4
RJ,Sao Goncalo,24445390,24445390,Capital,4
RJ,Sao Goncalo,24445400,24445400,Capital,4
RJ,Sao Goncalo,24445410,24445410,Capital,4
RJ,Sao Goncalo,24445420,24445420,Capital,4
RJ,Sao Goncalo,24445440,24445440,Capital,4
MG,Juiz De Fora,36020000,36021999,Redespacho,4
RJ,Sao Goncalo,24445460,24445460,Capital,4
RJ,Sao Goncalo,24445470,24445470,Capital,4
PA,Ourem,68640000,68643999,Redespacho,8
PI,Madeiro,64168000,64169999,Redespacho,7
PI,Sao Joao Da Fronteira,64243000,64244999,Redespacho,7
RJ,Nova Friburgo,28600000,28636999,Redespacho,4
RJ,Miguel Pereira,26900000,26900999,Redespacho,5
RJ,Miguel Pereira,26910000,26910999,Redespacho,5
RJ,Sao Goncalo,24410220,24410220,Capital,4
RJ,Cordeiro,28540000,28540999,Redespacho,4
RJ,Paraiba Do Sul,25850000,25869999,Redespacho,4
RJ,Sao Goncalo,24720210,24720210,Capital,4
RJ,Sao Goncalo,24720215,24720215,Capital,4
RJ,Sao Goncalo,24720220,24720220,Capital,4
RJ,Sao Goncalo,24720230,24720230,Capital,4
RJ,Sao Goncalo,24720240,24720240,Capital,4
RJ,Sao Goncalo,24720250,24720250,Capital,4
RJ,Sao Goncalo,24445490,24445490,Capital,4
RJ,Sao Goncalo,24445495,24445495,Capital,4
RJ,Sao Goncalo,24445500,24445500,Capital,4
RJ,Sao Goncalo,24720200,24720200,Capital,4
PB,Joao Pessoa,58032010,58032010,Capital,3
PB,Joao Pessoa,58032020,58032020,Capital,3
RJ,Rio De Janeiro,22620000,22649999,Capital,3
RJ,Rio De Janeiro,22700000,22780999,Capital,3
RJ,Rio De Janeiro,22611000,22619999,Capital,3
RJ,Sao Goncalo,24720030,24720030,Capital,4
RJ,Sao Goncalo,24720040,24720040,Capital,4
